Rank,School,Location,USNews URL
1,Massachusetts Institute of Technology,"Cambridge, MA",/best-graduate-schools/top-engineering-schools/school-of-engineering-02077
2,Stanford University,"Stanford, CA",/best-graduate-schools/top-engineering-schools/school-of-engineering-02020
3,University of California—​Berkeley,"Berkeley, CA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02021
4,California Institute of Technology,"Pasadena, CA",/best-graduate-schools/top-engineering-schools/division-of-engineering-and-applied-science-02009
5,University of Michigan—​Ann Arbor,"Ann Arbor, MI",/best-graduate-schools/top-engineering-schools/college-of-engineering-02088
6,Carnegie Mellon University,"Pittsburgh, PA",/best-graduate-schools/top-engineering-schools/carnegie-institute-of-technology-02152
7,Purdue University—​West Lafayette,"West Lafayette, IN",/best-graduate-schools/top-engineering-schools/college-of-engineering-02057
8,Georgia Institute of Technology,"Atlanta, GA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02049
9,University of Illinois—​Urbana-​Champaign,"Urbana, IL",/best-graduate-schools/top-engineering-schools/college-of-engineering-02055
10,University of Southern California (Viterbi),"Los Angeles, CA",/best-graduate-schools/top-engineering-schools/andrew-and-erna-viterbi-school-of-engineering-02027
11,University of Texas—​Austin (Cockrell),"Austin, TX",/best-graduate-schools/top-engineering-schools/cockrell-school-of-engineering-02178
12,Columbia University (Fu Foundation),"New York, NY",/best-graduate-schools/top-engineering-schools/fu-foundation-school-of-engineering-and-applied-science-02116
13,Texas A&M University—​College Station,"College Station, TX",/best-graduate-schools/top-engineering-schools/dwight-look-college-of-engineering-02174
14,University of California—​San Diego (Jacobs),"La Jolla, CA",/best-graduate-schools/top-engineering-schools/jacobs-school-of-engineering-02025
15,Cornell University,"Ithaca, NY",/best-graduate-schools/top-engineering-schools/college-of-engineering-02118
16,University of California—​Los Angeles (Samueli),"Los Angeles, CA",/best-graduate-schools/top-engineering-schools/henry-samueli-school-of-engineering-and-applied-science-02024
17,Princeton University,"Princeton, NJ",/best-graduate-schools/top-engineering-schools/school-of-engineering--applied-science-02108
18,Johns Hopkins University (Whiting),"Baltimore, MD",/best-graduate-schools/top-engineering-schools/whiting-school-of-engineering-02073
19,University of Pennsylvania,"Philadelphia, PA",/best-graduate-schools/top-engineering-schools/school-of-engineering-and-applied-science-02156
20,Northwestern University (McCormick),"Evanston, IL",/best-graduate-schools/top-engineering-schools/robert-r-mccormick-school-of-engineering-and-applied-science-02054
21,University of Wisconsin—​Madison,"Madison, WI",/best-graduate-schools/top-engineering-schools/college-of-engineering-02192
22,Harvard University,"Cambridge, MA",/best-graduate-schools/top-engineering-schools/school-of-engineering-and-applied-sciences-02076
23,University of Maryland—​College Park (Clark),"College Park, MD",/best-graduate-schools/top-engineering-schools/a-james-clark-school-of-engineering-02074
24,North Carolina State University,"Raleigh, NC",/best-graduate-schools/top-engineering-schools/college-of-engineering-02132
25,University of California—​Santa Barbara,"Santa Barbara, CA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02026
26,Duke University (Pratt),"Durham, NC",/best-graduate-schools/top-engineering-schools/pratt-school-of-engineering-02130
27,University of Washington,"Seattle, WA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02188
28,University of Minnesota—​Twin Cities,"Minneapolis, MN",/best-graduate-schools/top-engineering-schools/college-of-science-and-engineering-02091
29,Ohio State University,"Columbus, OH",/best-graduate-schools/top-engineering-schools/college-of-engineering-02139
30,Rice University (Brown),"Houston, TX",/best-graduate-schools/top-engineering-schools/george-r-brown-school-of-engineering-02171
31,Virginia Tech,"Blacksburg, VA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02187
32,University of Colorado—​Boulder,"Boulder, CO",/best-graduate-schools/top-engineering-schools/college-of-engineering-and-applied-science-02032
33,Pennsylvania State University—​University Park,"University Park, PA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02155
34,University of California—​Davis,"Davis, CA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02022
35,Boston University,"Boston, MA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02075
36,University of California—​Irvine (Samueli),"Irvine, CA",/best-graduate-schools/top-engineering-schools/henry-samueli-school-of-engineering-02023
37,Northeastern University,"Boston, MA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02078
38,Vanderbilt University,"Nashville, TN",/best-graduate-schools/top-engineering-schools/school-of-engineering-02169
39,Yale University,"New Haven, CT",/best-graduate-schools/top-engineering-schools/school-of-engineering-and-applied-science-02037
40,University of Virginia,"Charlottesville, VA",/best-graduate-schools/top-engineering-schools/school-of-engineering-and-applied-science-02186
41,New York University (Tandon),"Brooklyn, NY",/best-graduate-schools/top-engineering-schools/tandon-school-of-engineering-02120
42,Rensselaer Polytechnic Institute,"Troy, NY",/best-graduate-schools/top-engineering-schools/school-of-engineering-02121
43,Iowa State University,"Ames, IA",/best-graduate-schools/top-engineering-schools/college-of-engineering-02060
44,University of Florida,"Gainesville, FL",/best-graduate-schools/top-engineering-schools/herbert-wertheim-college-of-engineering-02046
45,Arizona State University (Fulton),"Tempe, AZ",/best-graduate-schools/top-engineering-schools/ira-a-fulton-schools-of-engineering-02006
46,University of Rochester (Hajim),"Rochester, NY",/best-graduate-schools/top-engineering-schools/hajim-school-of-engineering-and-applied-sciences-02129
47,Brown University,"Providence, RI",/best-graduate-schools/top-engineering-schools/school-of-engineering-02159
48,University of Delaware,"Newark, DE",/best-graduate-schools/top-engineering-schools/college-of-engineering-02038
49,University of Pittsburgh (Swanson),"Pittsburgh, PA",/best-graduate-schools/top-engineering-schools/swanson-school-of-engineering-02157
50,Case Western Reserve University,"Cleveland, OH",/best-graduate-schools/top-engineering-schools/case-school-of-engineering-02138
